,executors,structure_type,function,dataset_size,std_percentage
205,8,sorted-asc_bucketed_40,union,10000000,0.0049314752642690175
206,8,sorted-asc_bucketed_40,earlyStopSortMerge,10000000,0.014423108262080108
207,8,sorted-asc_bucketed_40,exploding,100000,0.03032855851300945
208,8,sorted-asc_bucketed_40,union,100000,0.020123962917041653
209,8,sorted-asc_bucketed_40,earlyStopSortMerge,100000,0.0231967665984951
210,8,sorted-asc_bucketed_40,exploding,1000000,0.01475421786774641
211,8,sorted-asc_bucketed_40,union,1000000,0.029609061616992862
212,8,sorted-asc_bucketed_40,earlyStopSortMerge,1000000,0.014228856716275703
213,8,sorted-asc_bucketed_40,exploding,10000,0.04056495577197698
214,8,sorted-asc_bucketed_40,union,10000,0.03382568279893645
215,8,sorted-asc_bucketed_40,earlyStopSortMerge,10000,0.06034140347637518
216,8,sorted-rand,exploding,10000000,0.007615219847841657
217,8,sorted-rand,union,10000000,0.02057656367610413
218,8,sorted-rand,earlyStopSortMerge,10000000,0.0071890078197282435
219,8,sorted-rand,exploding,100000,0.01718911291971141
220,8,sorted-rand,union,100000,0.06215203670182074
221,8,sorted-rand,earlyStopSortMerge,100000,0.007963962232613392
222,8,sorted-rand,exploding,1000000,0.011774118904727897
223,8,sorted-rand,union,1000000,0.008959957960996336
224,8,sorted-rand,earlyStopSortMerge,1000000,0.010006803381354349
225,8,sorted-rand,exploding,10000,0.07498022916584111
226,8,sorted-rand,union,10000,0.0440579672985956
227,8,sorted-rand,earlyStopSortMerge,10000,0.08322856321364737
228,8,sorted-asc,exploding,10000000,0.006889542982063397
229,8,sorted-asc,union,10000000,0.002448879180890997
230,8,sorted-asc,earlyStopSortMerge,10000000,0.0067370288632793065
231,8,sorted-asc,exploding,100000,0.09126793724478839
232,8,sorted-asc,union,100000,0.08074413890751497
233,8,sorted-asc,earlyStopSortMerge,100000,0.134357849095693
234,8,sorted-asc,exploding,1000000,0.039305548005045834
235,8,sorted-asc,union,1000000,0.00865036703286631
236,8,sorted-asc,earlyStopSortMerge,1000000,0.026985175430719485
237,8,sorted-asc,exploding,10000,0.3432016825102984
238,8,sorted-asc,union,10000,0.2575274743784493
239,8,sorted-asc,earlyStopSortMerge,10000,0.15385831315792103
240,8,sorted-asc_bucketed_160,exploding,10000000,0.012223021912812758
241,8,sorted-asc_bucketed_160,union,10000000,0.002098334127981789
242,8,sorted-asc_bucketed_160,earlyStopSortMerge,10000000,0.0028920964815622534
243,8,sorted-asc_bucketed_160,exploding,100000,0.020395841622514028
244,8,sorted-asc_bucketed_160,union,100000,0.021378637549743142
245,8,sorted-asc_bucketed_160,earlyStopSortMerge,100000,0.4964372610043979
246,8,sorted-asc_bucketed_160,exploding,1000000,0.004423907422387159
247,8,sorted-asc_bucketed_160,union,1000000,0.0027946846228260984
248,8,sorted-asc_bucketed_160,earlyStopSortMerge,1000000,0.0049437029121344195
249,8,sorted-asc_bucketed_160,exploding,10000,0.0387302156487271
250,8,sorted-asc_bucketed_160,union,10000,0.019311134266424078
251,8,sorted-asc_bucketed_160,earlyStopSortMerge,10000,0.058726020261121774
